class;order;list;iucn_category;exp;obt
Reptilia;Squamata;ICMBIO;EN;51;37
Reptilia;Squamata;ICMBIO;CR;12;6
Reptilia;Squamata;IUCN;DD;58;50
Reptilia;Squamata;IUCN;LC;659;564
Reptilia;Squamata;IUCN;NT;15;8
Reptilia;Squamata;IUCN;VU;36;21
Reptilia;Squamata;IUCN;EN;58;48
Reptilia;Squamata;IUCN;CR;15;0
Reptilia;Squamata;MMA;DD;61;56
Reptilia;Squamata;MMA;LC;685;634
Reptilia;Squamata;MMA;NT;24;18
Reptilia;Squamata;MMA;VU;21;17
Reptilia;Squamata;MMA;EN;44;42
Reptilia;Squamata;MMA;CR;8;7
Reptilia;Testudines;ICMBIO;DD;3;7
Reptilia;Testudines;ICMBIO;LC;32;18
Reptilia;Testudines;ICMBIO;NT;1;5
Reptilia;Testudines;ICMBIO;VU;1;1
Reptilia;Testudines;ICMBIO;EN;2;2
Reptilia;Testudines;ICMBIO;CR;1;3
Reptilia;Testudines;IUCN;DD;3;0
Reptilia;Testudines;IUCN;LC;31;0
Reptilia;Testudines;IUCN;NT;1;1
Reptilia;Testudines;IUCN;VU;2;10
Reptilia;Testudines;IUCN;EN;3;2
Reptilia;Testudines;IUCN;CR;1;5
Reptilia;Testudines;MMA;DD;3;3
Reptilia;Testudines;MMA;LC;32;22
Reptilia;Testudines;MMA;NT;1;5
